subjects	cluster.id
subject219	12
subject220	2
subject221	6
subject222	5
subject223	9
subject224	12
subject225	12
subject226	7
subject227	11
subject228	12
subject229	9
subject230	13
subject231	2
subject232	11
subject233	9
subject234	5
subject235	9
subject236	7
subject237	12
subject238	1
subject239	1
subject240	11
subject241	1
subject242	12
subject243	5
subject244	11
subject245	5
subject246	12
subject247	11
subject248	5
subject249	11
subject250	14
subject251	11
subject252	7
subject253	7
subject254	14
subject255	10
subject256	2
subject257	11
subject258	9
subject259	11
subject260	4
subject261	9
subject262	8
subject263	2
subject264	2
subject265	10
subject266	2
subject267	2
subject268	1
subject269	7
subject270	2
subject271	12
subject272	12
subject273	7
subject274	12
subject275	15
subject276	11
subject277	5
subject278	7
subject279	7
subject280	12
subject281	2
subject282	2
subject283	12
subject284	15
subject285	10
subject286	2
subject287	12
subject288	2
subject289	7
subject290	11
subject291	1
subject292	7
subject293	15
subject294	1
subject295	3
subject296	3
subject297	12
subject298	12
subject299	1
subject300	2
subject301	7
subject302	2
subject303	12
subject304	8
subject305	2
subject306	12
subject307	5
subject308	11
subject309	10
subject310	15
subject311	2
subject312	2
subject313	14
subject314	7
subject315	11
subject316	8
subject317	12
subject318	7
subject319	5
subject320	7
subject321	5
subject322	1
subject323	10
subject324	11
subject325	9
subject326	1
subject327	10
subject328	13
subject329	1
subject330	5
subject331	5
subject332	2
subject333	1
subject334	6
subject335	3
subject336	12
subject337	2
subject338	7
subject339	2
subject340	2
subject341	1
subject342	12
subject343	7
subject344	7
subject345	12
subject346	5
subject347	7
subject348	9
subject349	12
subject350	15
subject351	14
subject352	12
subject353	1
subject354	9
subject355	11
subject356	2
subject357	6
subject358	12
subject359	15
subject360	5
subject361	12
subject362	1
subject363	12
subject364	3
subject365	12
subject366	12
subject367	12
subject368	5
subject369	11
subject370	6
subject371	12
subject372	5
subject373	2
subject374	15
subject375	15
subject376	12
subject377	1
subject378	11
subject379	12
subject380	15
subject381	15
subject382	11
subject383	5
subject384	11
subject385	14
subject386	11
subject387	7
subject388	1
subject389	12
subject390	12
subject391	12
subject392	8
subject393	9
subject394	5
subject395	6
subject396	3
subject397	11
subject398	11
subject399	4
subject400	12
subject401	1
subject402	12
subject403	9
subject404	11
subject405	13
subject406	5
subject407	7
subject408	10
subject409	11
subject410	9
subject411	12
subject412	15
subject413	7
subject414	3
subject415	11
subject416	2
subject417	5
subject418	8
subject419	13
subject420	9
subject421	11
subject422	2
subject423	6
subject424	12
subject425	3
subject426	12
subject427	5
subject428	12
subject429	10
subject430	11
subject431	1
subject432	6
subject433	15
subject434	4
subject435	11
subject436	2
subject437	5
subject438	3
subject439	5
subject440	15
subject441	11
subject442	13
subject443	12
subject444	12
subject445	12
subject446	3
subject447	10
subject448	7
subject449	12
subject450	6
subject451	12
subject452	5
subject453	7
subject454	3
subject455	15
subject456	14
subject457	5
subject458	5
subject459	5
subject460	12
subject461	5
subject462	12
subject463	11
subject464	7
subject465	8
subject466	1
subject467	12
subject468	12
subject469	9
subject470	11
subject471	12
subject472	15
subject473	5
subject474	14
subject475	5
subject476	1
subject477	5
subject478	6
subject479	9
subject480	1
subject481	12
subject482	8
subject483	11
subject484	5
subject485	12
subject486	5
subject487	5
subject488	11
subject489	11
subject490	2
subject491	7
subject492	7
subject493	5
subject494	5
subject495	2
subject496	9
subject497	14
subject498	11
subject499	7
subject500	12
subject501	3
subject502	5
subject503	4
subject504	8
subject505	5
subject506	1
subject507	3
subject508	1
subject509	12
subject510	7
subject511	9
subject512	11
subject513	8
subject514	7
subject515	4
subject516	5
subject517	5
subject518	12
subject519	15
subject520	12
subject521	7
subject522	12
subject523	2
subject524	14
subject525	7
subject526	12
subject527	12
subject528	7
subject529	2
subject530	7
subject531	2
subject532	5
subject533	12
subject534	12
subject535	2
subject536	7
subject537	12
subject538	4
subject539	2
subject540	12
subject541	5
subject542	7
subject543	5
subject544	9
subject545	4
subject546	13
subject547	13
subject548	3
subject549	7
subject550	12
subject551	1
subject552	2
subject553	5
subject554	1
subject555	3
subject556	12
subject557	7
subject558	5
subject559	1
subject560	12
subject561	2
subject562	12
subject563	12
subject564	8
subject565	7
subject566	5
subject567	2
subject568	12
subject569	7
subject570	1
subject571	11
subject572	7
subject573	9
subject574	5
subject575	9
subject576	15
subject577	2
subject578	11
subject579	1
subject580	3
subject581	5
subject582	7
subject583	7
subject584	5
subject585	7
subject586	11
subject587	12
subject588	7
subject589	13
subject590	12
subject591	12
subject592	9
subject593	12
subject594	11
subject595	1
subject596	15
subject597	7
subject598	2
subject599	7
subject600	3
subject601	13
subject602	7
subject603	14
subject604	14
subject605	12
subject606	8
subject607	1
subject608	8
subject609	3
subject610	12
subject611	5
subject612	12
subject613	12
subject614	11
subject615	12
subject616	8
subject617	9
subject618	7
subject619	15
subject620	10
subject621	7
subject622	15
subject623	5
subject624	1
subject625	1
subject626	5
subject627	11
subject628	11
subject629	12
subject630	12
subject631	5
subject632	5
subject633	3
subject634	12
subject635	9
subject636	2
subject637	11
subject638	7
subject639	6
subject640	8
subject641	12
subject642	11
subject643	1
subject644	7
subject645	13
subject646	9
subject647	4
subject648	4
subject649	5
subject650	5
subject651	1
subject652	11
subject653	13
subject654	6
subject655	5
subject656	12
subject657	5
subject658	1
subject659	11
subject660	12
subject661	12
subject662	6
subject663	7
subject664	13
subject665	12
subject666	1
subject667	12
subject668	12
subject669	12
subject670	1
subject671	12
subject672	12
subject673	11
subject674	12
subject675	11
subject676	1
subject677	12
subject678	9
subject679	3
subject680	2
subject681	3
subject682	5
subject683	3
subject684	5
subject685	5
subject686	12
subject687	6
subject688	2
subject689	5
subject690	11
subject691	5
subject692	12
subject693	1
subject694	14
subject695	1
subject696	3
subject697	5
subject698	13
subject699	1
subject700	8
subject701	8
subject702	7
subject703	9
subject704	9
subject705	9
subject706	12
subject707	12
subject708	15
subject709	4
subject710	12
subject711	11
subject712	9
subject713	11
subject714	12
subject715	5
subject716	12
subject717	12
subject718	5
subject719	12
subject720	5
subject721	1
subject722	12
subject723	2
subject724	14
subject725	8
subject726	5
subject727	15
subject728	5
subject729	5
subject730	11
subject731	12
subject732	1
subject733	12
subject734	9
subject735	9
subject736	9
subject737	11
subject738	4
subject739	1
subject740	7
subject741	2
subject742	12
subject743	5
subject744	5
subject745	5
subject746	12
subject747	5
subject748	6
subject749	5
subject750	4
subject751	4
subject752	7
subject753	7
subject754	3
subject755	1
subject756	10
subject757	15
subject758	13
subject759	1
subject760	12
subject761	14
subject762	12
subject763	7
subject764	8
subject765	15
subject766	1
subject767	12
subject768	5
subject769	12
subject770	7
subject771	12
subject772	11
subject773	12
subject774	8
subject775	11
subject776	7
subject777	4
subject778	1
subject779	15
subject780	11
subject781	9
subject782	5
subject783	5
subject784	13
subject785	4
subject786	3
subject787	12
subject788	2
subject789	11
subject790	7
subject791	15
subject792	15
subject793	5
subject794	4
subject795	7
subject796	12
subject797	11
subject798	5
subject799	2
subject800	14
subject801	7
subject802	15
subject803	1
subject804	2
subject805	13
subject806	9
subject807	1
subject808	13
subject809	12
subject810	5
subject811	3
subject812	9
subject813	12
subject814	1
subject815	2
subject816	9
subject817	8
subject818	11
subject819	1
subject820	12
subject821	4
subject822	7
subject823	15
subject824	12
subject825	11
subject826	7
subject827	6
subject828	12
subject829	5
subject830	9
subject831	5
subject832	8
subject833	12
subject834	9
subject835	12
subject836	12
subject837	5
subject838	11
subject839	11
subject840	3
subject841	1
subject842	12
subject843	15
subject844	2
subject845	12
subject846	7
subject847	12
subject848	4
subject849	7
subject850	3
subject851	2
subject852	15
subject853	3
subject854	2
subject855	14
subject856	13
subject857	7
subject858	5
subject859	5
subject860	12
subject861	8
subject862	1
subject863	6
subject864	13
subject865	12
subject866	7
subject867	2
subject868	5
subject869	6
subject870	12
subject871	8
subject872	15
subject873	12
subject874	1
subject875	15
subject876	5
subject877	11
subject878	14
subject879	4
subject880	3
subject881	13
subject882	9
subject883	15
subject884	2
subject885	3
subject886	12
subject887	9
subject888	5
subject889	13
subject890	1
subject891	1
subject892	10
subject893	3
subject894	11
subject895	11
subject896	9
subject897	12
subject898	8
subject899	9
subject900	15
subject901	1
subject902	13
subject903	6
subject904	5
subject905	11
subject906	7
subject907	2
subject908	7
subject909	2
subject910	9
subject911	11
subject912	5
subject913	14
subject914	5
subject915	7
subject916	1
subject917	6
subject918	12
subject919	13
subject920	7
subject921	11
subject922	2
subject923	12
subject924	6
subject925	5
subject926	5
subject927	12
subject928	12
subject929	11
subject930	12
subject931	1
subject932	12
subject933	12
subject934	7
subject935	1
subject936	2
subject937	6
subject938	12
subject939	12
subject940	15
subject941	7
subject942	11
subject943	14
subject944	2
subject945	12
subject946	7
subject947	1
subject948	8
subject949	1
subject950	7
subject951	1
subject952	1
subject953	9
subject954	6
subject955	11
subject956	1
subject957	12
subject958	2
subject959	1
subject960	2
subject961	3
subject962	6
subject963	7
subject964	12
subject965	7
subject966	12
subject967	1
subject968	11
subject969	11
subject970	6
subject971	12
subject972	4
subject973	1
subject974	4
subject975	11
subject976	12
subject977	2
subject978	4
subject979	5
subject980	2
subject981	5
subject982	5
subject983	12
subject984	7
subject985	7
subject986	12
subject987	12
subject988	1
subject989	11
subject990	12
subject991	11
subject992	12
subject993	12
subject994	7
subject995	1
subject996	12
subject997	12
subject998	12
subject999	7
subject1000	5
